
[Nodes]:
50 150
7001 144.25061355720683 -36.77931336633828
7002 145.3567793910563 -37.83530880316434
7003 144.98884353329427 -37.82462879249984
7004 144.93244238351363 -37.803783317565575
7005 145.03060050148983 -37.660502400829095
7006 145.09047160989743 -37.703241461275354
7007 145.0834341222611 -37.76190059824638
7008 145.13363510253103 -38.129982500705566
7009 145.03128102137524 -37.79410440077204
7010 144.91848115187295 -37.683466980857325
7011 145.13364213685088 -38.1531411885819
7012 145.72196570303066 -37.72307090272325
7013 144.91338548196535 -37.83393391054194
7014 145.1242899077155 -37.81835521050534
7015 145.05552050592388 -37.77236692100448
7016 145.0160658108261 -37.805651084377565
7017 145.28815940981372 -37.78098180919204
7018 144.97694392690823 -37.85958867708201
7019 145.0541164781652 -37.96049161239612
7020 144.9774831717056 -37.74578329582307
7021 144.35843448533723 -38.0735368020349
7022 145.23640697125867 -37.86671289148455
7023 145.11492923420516 -37.774293469668585
7024 144.9851143392868 -37.84524400508531
7025 145.0457186953634 -37.848851992888434
7026 145.30686008920347 -38.025806900624765
7027 145.1778972182547 -37.965568311293616
7028 144.84957709466548 -37.72616130331927
7029 145.0396380024034 -37.84474647832166
7030 144.96405881303485 -37.79996229585033
7031 145.01115790274716 -37.803520991831114
7032 145.04577404742474 -37.84869199180575
7033 145.1401065970711 -37.990369286468635
7034 143.93027871385814 -37.558930898197445
7035 145.30565845373647 -37.76481724173628
7036 145.02578863322987 -37.9315233018654
7037 144.82879954644005 -37.776625592058416
7038 144.96113711393787 -37.766929850144955
7039 144.35843448533723 -38.0735368020349
7040 145.00378867533 -37.819040997513376
7041 145.26915501930768 -37.99632984529741
7042 144.88355160011562 -37.81241069769767
7043 144.782015607658 -37.84381320242992
7044 145.00133618692885 -37.94388929845978
7045 144.7546579338901 -37.762297558764594
7046 146.56167290645985 -38.19076577837382
7047 144.78336690663315 -37.84179122829868
7048 145.2435668997753 -38.108218678909004
7049 145.06892890572647 -37.68153390465059
7050 145.17641463926648 -37.8158484984231

[Edges]:
7001 7034 0.842862923520431
7001 7045 1.104680341196504
7001 7028 1.1203920452101297
7002 7035 0.08707703753013286
7002 7017 0.08752213491340041
7002 7022 0.12440151209354904
7003 7040 0.01595558595847794
7003 7024 0.0209497942206994
7003 7031 0.030715962188256923
7004 7030 0.03184648838755652
7004 7013 0.03566824572988106
7004 7038 0.046707233005630025
7005 7049 0.0437194547578158
7005 7006 0.07356070221105997
7005 7020 0.10047030294759139
7006 7049 0.03058277485146019
7006 7007 0.0590797815027841
7006 7005 0.07356070221105997
7007 7015 0.029811304719835962
7007 7023 0.03384561032771955
7007 7006 0.0590797815027841
7008 7011 0.023158688944649668
7008 7048 0.11206544509591292
7008 7033 0.13976312042577432
7009 7016 0.019100485186006166
7009 7031 0.022217382620225254
7009 7015 0.03255872598596274
7010 7028 0.08105907888778345
7010 7020 0.08581702310870438
7010 7038 0.09373143362505024
7011 7008 0.023158688944649668
7011 7048 0.11874967528081264
7011 7033 0.16290021904070212
7012 7002 0.38204500879982
7012 7035 0.4183951274045714
7012 7017 0.4376546276719399
7013 7004 0.03566824572988106
7013 7042 0.03678735105118236
7013 7030 0.06100702489414394
7014 7023 0.0450450797993791
7014 7050 0.05218497144508642
